"","gene","beta","sd","pval","pval_anova","cov","varexp","singular","beta_norm"
"A1cf","A1cf",0.0361252849256601,0.0170831100609393,0.0472089691478904,0.0472089691478904,0.000291832649354165,0,TRUE,0.0111161542524867
"A230072E10Rik","A230072E10Rik",-0.415693363575849,0.0845212777277916,8.29674954848771e-05,8.2967495484877e-05,0.00714384638873848,0,TRUE,0.00943646906450279
"A26c3","A26c3",0.096028585782028,0.0427995882163852,0.0363328864354444,0.0363328864354444,0.00183180475149214,0,TRUE,0.0113388513179875
"A330023F24Rik","A330023F24Rik",1.00226846543255,0.184241094463746,2.52147081129708e-05,2.52147081129708e-05,0.033944780889199,0,TRUE,0.0147078970792847
"A330033J07Rik","A330033J07Rik",0.0613042150917613,0.0257798611387243,0.027491711938322,0.027491711938322,0.000664601240331907,0,TRUE,0.0112097596762326
"A330093E20Rik","A330093E20Rik",0.0580897399498678,0.0264087950263703,0.0397580553870575,0.0397580553870575,0.000697424454744839,0,TRUE,0.0111978095137042
"A430018G15Rik","A430018G15Rik",0.10387711151904,0.0283832526706524,0.00155622514710096,0.00155622514710096,0.000805609032166099,0,TRUE,0.0113680290698834
"A430028G04Rik","A430028G04Rik",-0.291572786375035,0.106797212903704,0.0128967900892249,0.0128967900892249,0.0114056446839991,0,TRUE,0.00989790087069276
"A430090L17Rik","A430090L17Rik",0.531499479914292,0.220631300661157,0.0257562314541027,0.0257562314541027,0.0486781708314338,0,TRUE,0.0129577619430754
"A530058N18Rik","A530058N18Rik",0.0980352405753892,0.0374180807746507,0.0164011135289874,0.0164011135289874,0.00140011276885829,0,TRUE,0.0113463112764132
"A630001G21Rik","A630001G21Rik",3.81043457334725,1.05302635665189,0.00171287991099847,0.00171287991099847,1.10886450780355,0,TRUE,0.0251475613837715
"A730049H05Rik","A730049H05Rik",0.0400732461745717,0.0154043297504687,0.0170741462544952,0.0170741462544952,0.000237293375061176,0,TRUE,0.0111308312297527
"A830008E24Rik","A830008E24Rik",0.0824945537677604,0.0291251837018358,0.0102910918629054,0.0102910918629054,0.000848276325665679,0,TRUE,0.0112885370753517
"A830082N09Rik","A830082N09Rik",0.174085061718771,0.0601800895068428,0.00899872948969905,0.00899872948969905,0.00362164317305161,0,TRUE,0.0116290347951233
"A930001A20Rik","A930001A20Rik",0.0748275704976233,0.0349135271850925,0.0445747180408766,0.0445747180408766,0.00121895438050419,0,TRUE,0.0112600342274103
"A930006K02Rik","A930006K02Rik",0.688697526287578,0.241392741343661,0.00983087092139909,0.00983087092139909,0.0582704555734076,0,TRUE,0.0135421628546997
"A930038B10Rik","A930038B10Rik",0.142668872818195,0.0307496736205631,0.00015807216614949,0.00015807216614949,0.000945542427771152,0,TRUE,0.0115122416805979
"AA388235","AA388235",-0.199689006788499,0.0701279873971845,0.00995226572566912,0.00995226572566912,0.00491793461637967,0,TRUE,0.0102394888598099
"Aadacl2","Aadacl2",0.0640477776864908,0.0153422670341607,0.000467688462039166,0.000467688462039166,0.000235385157747494,0,TRUE,0.0112199591699187
"Aadacl2fm2","Aadacl2fm2",-0.101509931529876,0.0469928996887014,0.0430799898449289,0.0430799898449289,0.00220833262115235,0,TRUE,0.0106044802983636
"Abca16","Abca16",0.0578997652978362,0.0207330835267365,0.0112387665584284,0.0112387665584284,0.000429860752526632,0,TRUE,0.0111971032621803
"Abcb10","Abcb10",2.97801635090921,0.416162507956871,6.2409931304645e-07,6.2409931304645e-07,0.173191233028953,0,TRUE,0.0220529556983395
"Abcc12","Abcc12",0.0299730740272687,0.0135516373720137,0.0387863097368063,0.0387863097368063,0.000183646875462558,0,TRUE,0.0110932827363293
"Abcc2","Abcc2",0.0783407718619597,0.0284411638302221,0.0122250713529938,0.0122250713529938,0.000808899800017535,0,TRUE,0.011273094937307
"Abcg2","Abcg2",3.96975728308372,1.31618951733756,0.0483263902038865,0.0483263902038865,1.73235484554927,0.451026089530096,FALSE,0.0257398609635726
"Abhd2","Abhd2",9.07493794840279,3.46970462215764,0.0165625214892077,0.0165625214892077,12.0388501650221,0,TRUE,0.044718927839094
"Abhd4","Abhd4",2.43707362877715,0.362762610027551,1.54729845000044e-06,1.54729845000043e-06,0.131596711234001,0,TRUE,0.0200419420296334
